Name,Lat,Lon,SiteID
CSG-HUTH48,16.457920,107.596610,HUTH48
CSG-HUTH49,16.470320,107.599890,HUTH49
CSG-HUTH51,16.447420,107.583850,HUTH51
CSG-HUTH53,16.459830,107.605440,HUTH53
CSG-HUTH54,16.458578,107.591639,HUTH54
CSG-HUTH60,16.469320,107.593740,HUTH60
CSG-HUTH89,16.465220,107.595210,HUTH89
CSG-HUTH98,16.544520,107.570520,HUTH98
CSG-QADB02,15.955090,108.254900,QADB02
CSG-QADB03,15.930250,108.302690,QADB03
CSG-QADB04 5G,15.889720,108.181240,QADB04
CSG-QADB04_1,15.889720,108.181240,QADB04
CSG-QADB04_2,15.889720,108.181240,QADB04
CSG-QADB06,15.891080,108.290440,QADB06
CSG-QADB07,15.884730,108.226890,QADB07
CSG-QADB07 5G,15.884730,108.226890,QADB07
CSG-QADB08,15.909590,108.238220,QADB08
CSG-QADB08-ACX7024,15.909590,108.238220,QADB08
CSG-QADB11,15.927360,108.260090,QADB11
CSG-QADB12,15.905440,108.272450,QADB12
CSG-QADB15,15.879360,108.256130,QADB15
CSG-QADB16,15.934430,108.231810,QADB16
CSG-QADB22,15.911620,108.185530,QADB22
CSG-QADB22-ACX7024,15.911620,108.185530,QADB22
CSG-QADB36,15.958813,108.238145,QADB36
CSG-QADB38,15.942619,108.301596,QADB38
CSG-QADB41,15.900660,108.287800,QADB41
CSG-QADB45,15.914800,108.269100,QADB45
CSG-QADB46,15.893610,108.243810,QADB46
CSG-QADB51,15.915910,108.310860,QADB51
CSG-QADB52,15.906050,108.159200,QADB52
CSG-QADB53,15.965750,108.253730,QADB53
CSG-QADB54,15.853330,108.196310,QADB54
CSG-QADB60,15.918130,108.294280,QADB60
CSG-QADB73,15.938960,108.207890,QADB73
CSG-QADB73-ACX7024,15.938960,108.207890,QADB73
CSG-QADL02,15.852170,108.060940,QADL02
CSG-QADL05,15.855610,107.997900,QADL05
CSG-QADL09,15.920420,108.132600,QADL09
CSG-QADL11,15.879410,108.078230,QADL11
CSG-QADL14,15.878900,108.104800,QADL14
CSG-QADL15,15.846380,108.086840,QADL15
CSG-QADL19,15.905870,108.121760,QADL19
CSG-QADL31,15.877340,108.092500,QADL31
CSG-QADL34,15.848800,107.946280,QADL34
CSG-QADLMA01,15.880950,108.118990,QADLMA01
CSG-QADX03,15.838240,108.143890,QADX03
CSG-QADX04_2,15.829220,108.219150,QADX04
CSG-QADX05,15.841990,108.393220,QADX05
CSG-QADX12,15.853080,108.275520,QADX12
CSG-QADX13,15.842960,108.306360,QADX13
CSG-QADX19,15.827070,108.121140,QADX19
CSG-QADX20,15.833050,108.272840,QADX20
CSG-QADX34,15.823210,108.200200,QADX34
CSG-QADX35,15.830460,108.376880,QADX35
CSG-QADX36,15.856540,108.338870,QADX36
CSG-QADX39,15.819840,108.249740,QADX39
CSG-QAHA02,15.902451,108.354629,QAHA02
CSG-QAHA02_2,15.902451,108.354629,QAHA02
CSG-QAHA03,15.872250,108.338530,QAHA03
CSG-QAHA04,15.881272,108.343099,QAHA04
CSG-QAHA05,15.881420,108.321430,QAHA05
CSG-QAHA06,15.892140,108.321040,QAHA06
CSG-QAHA08,15.887780,108.379680,QAHA08
CSG-QAHA10,15.866546,108.321260,QAHA10
CSG-QAHA16,15.882231,108.386679,QAHA16
CSG-QAHA18,15.870776,108.366877,QAHA18
CSG-QAHA20,15.902780,108.326380,QAHA20
CSG-QAHA25,15.892940,108.328800,QAHA25
CSG-QAHA27,15.881811,108.327432,QAHA27
CSG-QAHA32,15.901980,108.310810,QAHA32
CSG-QANT01,15.414173,108.675761,QANT01
CSG-QANT01_2,15.414173,108.675761,QANT01
CSG-QANT03,15.461073,108.603811,QANT03
CSG-QANT03_2,15.461073,108.603811,QANT03
CSG-QANT04,15.584220,108.553110,QANT04
CSG-QANT06,15.515840,108.559520,QANT06
CSG-QANT14,15.447900,108.683000,QANT14
CSG-QANT17,15.536840,108.535890,QANT17
CSG-QANT38,15.435340,108.652530,QANT38
CSG-QANT39,15.435670,108.639410,QANT39
CSG-QANT46,15.500300,108.571490,QANT46
CSG-QANT47,15.377870,108.714410,QANT47
CSG-QANT49,15.546110,108.525020,QANT49
CSG-QANT74,15.443100,108.629500,QANT74
