BS_Name,BS_Lat,BS_Lon,Nearest_Router_Name,Nearest_Router_Lat,Nearest_Router_Lon,Router_Type,Router_Priority,Router_Site_ID,Route_Distance_KM,Status
Ninh Thuận#Phòng#PC07 cơ sở 2,11.56495,109.002,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
Ninh Thuận#Phòng#PC10 cơ sở 2,11.55308,109.0064,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
Ninh Thuận#Phòng#Thuận Nam,11.47223,108.9149,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
Ninh Thuận#Phòng#PC10 cơ sở 2,11.55308,109.0064,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
Ninh Thuận#Phòng#Ninh Hải,11.59783,109.0311,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
Ninh Thuận#Phòng#Bảo An,11.58211,108.9728,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
Khánh Hòa#Phòng#CATP Nha trang cũ,12.24647,109.1894,KHNT60,12.24732201,109.18725,CSG,2,,0.4022,Success
Khánh Hòa#Phòng#PC06,12.24753,109.1896,KHNT60,12.24732201,109.18725,CSG,2,,0.2972,Success
Khánh Hòa#Phòng#PA08,12.24755,109.19,KHNT60,12.24732201,109.18725,CSG,2,,0.3605,Success
Khánh Hòa#Phòng#PA06 cs1,12.25373,109.1942,KHNT24,12.2522001,109.1937001,AGG,1,,0.226,Success
Khánh Hòa#Phòng#PC08 csc,12.24904,109.1841,KHNT05,12.2492,109.1834,CSG,2,,0.1144,Success
Khánh Hòa#Phòng#Nhà tạm giam Diên Khánh,12.24635,109.0729,KHDK13,12.24885,109.09061,CSG,2,,2.3922,Success
Khánh Hòa#Phòng#Trại giam A2,12.31491,109.0257,KHDK37,12.30831901,108.997223,CSG,2,,7.7701,Success
Khánh Hòa#Phòng#PC07,12.2391,109.1866,KHNT90,12.23783023,109.1886646,CSG,2,,0.3543,Success
Khánh Hòa#Phòng#PA06 cs2,12.23647,109.1846,KHNT55,12.23558201,109.183919,CSG,2,,0.1885,Success
Khánh Hòa#Phòng#PC11a,12.1757,109.1737,KHNTMA01,12.18747,109.17025,AGG,1,,2.9158,Success
Khánh Hòa#Phòng#PC02,12.21899,109.2043,KHNT4D,12.21645,109.19974,CSG,2,,0.7251,Success
Khánh Hòa#Phòng#PK02 cs1,12.27875,109.1889,KHNT94,12.2775384,109.1844806,CSG,2,,0.9003,Success
Khánh Hòa#Phòng#Trung đoàn CSCĐ-E23,12.28833,109.1638,KHNT78,12.29192001,109.176221,CSG,2,,2.1761,Success
Khánh Hòa#Phòng#PK02 cs2,12.33893,109.1952,KHNT13,12.33962201,109.197859,CSG,2,,0.9923,Success
Khánh Hòa#Phòng#Trạm CSGT Ninh An cũ,12.53169,109.1604,KHNH20,12.5296,109.1599,CSG,2,,0.3792,Success
Ninh Thuận#Phòng#Trại giam Sông Cái,11.82359,108.8002,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
Ninh Thuận#Phòng#PC11B,11.76602,109.06,KHCR04,11.83796801,109.111695,CSG,2,,11.9805,Success
Huế#Phòng#Nguyễn Thái Học,16.46768,107.595,HUTH89,16.46522,107.59521,CSG,2,,0.2747,Success
Quảng Ngãi#Phòng ban#TT Quảng Ngãi (mới),15.12304,108.8256,QNQN41,15.12528,108.83355,CSG,2,,1.0004,Success
"Quảng Ngãi#Phòng ban#Khối Phòng PA08,PA05",15.11382,108.7964,QNQN09,15.11339,108.79967,CSG,2,,0.6164,Success
"Quảng Ngãi#Phòng ban#Đội csgt đường thủy, PC08",15.22061,108.9128,QNBS05,15.215572,108.916406,CSG,2,,1.5878,Success
Quảng Ngãi#Phòng ban#Trung tâm HLBD NV- PX01,15.12194,108.817,QNQN22,15.118394,108.829897,CSG,2,,1.8119,Success
Quảng Ngãi#Phòng ban#khối phòng CAT KV P.NL,15.12811,108.7955,QNQN31,15.12628,108.79764,CSG,2,,0.3843,Success
Khánh Hòa#Phòng#Nhà nghỉ dưỡng 378 BCA,12.25676,109.1976,KHNT24,12.2522001,109.1937001,AGG,1,,1.1162,Success
Khánh Hòa#Phòng#PC08 (xử lý vi phạm),12.24807,109.1858,KHNT60,12.24732201,109.18725,CSG,2,,0.2339,Success
Khánh Hòa#Phòng#PC08 (CSGT đường thủy),12.1976,109.2157,KHNT42,12.20433,109.2149476,CSG,2,,1.2209,Success
Khánh Hòa#Phòng#NTG Nha Trang cũ,12.27693,109.1884,KHNT94,12.2775384,109.1844806,CSG,2,,1.135,Success
Khánh Hòa#Phòng#Cảng HKQT Cam Ranh,11.99821,109.2188,KHCR10,12.020986,109.215965,CSG,2,,2.9497,Success
Khánh Hòa#Phòng#Trung tâm Cai nghiện Khánh Bình,12.40598,108.9571,KHKV08,12.40196,108.94824,CSG,2,,1.7113,Success
Quảng Trị#Phòng#PC11A - Phân Trại Gio Linh,16.92754,107.0942,QTGL01,16.942,107.07308,AGG,1,,4.3351,Success
Quảng Trị#Phòng#PC11A - Phân Trại Hướng Hoá,16.6945,106.8796,QTCL06,16.74963,106.92699,CSG,2,,22.5466,Success
Quảng Trị#Phòng#PC11A - Phân Trại Triệu Phong,16.77012,107.1639,QTQT03,16.74744,107.17837,CSG,2,,3.474,Success
"Quảng Trị#Phòng#Phòng PH10, Nhà Nghỉ dưỡng Cửa Việt",16.91051,107.1878,QTGL03,16.91624,107.17423,CSG,2,,2.204,Success
Quảng Trị#Phòng#Phòng PH10 Bệnh xá Cơ sở 1 - Phía Nam,16.7889,107.1041,QTDH34,16.78303,107.11045,CSG,2,,1.7505,Success
"Quảng Trị#Phòng#Phòng PC08, trạm cảnh sát Giao thông Hải Lăng",16.66777,107.2694,QTHL25,16.68812,107.26891,AGG,1,,3.23,Success
"Quảng Trị#Phòng#Phòng PC07, Đội PCCC Khu vực 2",16.62004,106.6037,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
"Quảng Trị#Phòng#Phòng PC07, Đội PCCC khu vực 3",17.07781,106.9983,QTVL01,17.07791,106.99558,CSG,2,,0.4357,Success
"Quảng Trị#Phòng#Phòng PC07, Đội PCCC khu vực 4",16.91703,107.0967,QTGL13,16.90969,107.12424,CSG,2,,4.7102,Success
"Quảng Trị#Phòng#Phòng PC07, Đội PCCC khu vực 5",16.75634,107.1986,QTQT06,16.756179,107.195775,CSG,2,,0.4042,Success
"Quảng Trị#Phòng#Phòng PC07, Đội PCCC khu vực 6",16.70092,106.8858,QTCL06,16.74963,106.92699,CSG,2,,23.1351,Success
