BS_Name,BS_Lat,BS_Lon,Nearest_Router_Name,Nearest_Router_Lat,Nearest_Router_Lon,Route_Distance_KM,Status
2628-DL115,12.621022,108.497829,N/A,N/A,N/A,N/A,No router in radius
2628-DL116,12.559983,108.613504,N/A,N/A,N/A,N/A,No router in radius
2628-DL117,12.552244,108.639328,N/A,N/A,N/A,N/A,No router in radius
2628-DL118,12.527069,108.784969,N/A,N/A,N/A,N/A,No router in radius
2628-DL119,12.50718,108.85692,N/A,N/A,N/A,N/A,No router in radius
2628-DL120,12.505969,108.871377,N/A,N/A,N/A,N/A,No router in radius
2628-DL122,12.692866,108.043846,CSG-DLBT57,12.69416,108.04521,0.30410000000000004,Success
2628-DL123,12.706919,108.059808,CSG-DLBT53,12.70516,108.05533,0.7061000000000001,Success
2628-DL124,12.679464,108.023487,CSG-DLBT86,12.67646,108.02686,0.8077000000000001,Success
2628-DL125,12.713636,108.080523,CSG-DLBT24,12.701491,108.075671,2.5548,Success
2628-DL126,12.71497,108.084761,CSG-DLBT24,12.701491,108.075671,1.9473,Success
2628-DL127,12.608503,108.131386,CSG-DLCK09,12.607681,108.124574,0.9602,Success
2628-DL128,12.594722,108.129958,CSG-DLCK09,12.607681,108.124574,1.8887,Success
2628-DL129,12.71544,108.269082,N/A,N/A,N/A,N/A,No router in radius
