Tuyến cáp                    , lat1       , lon1       , lat2       , lon2       , Desc,
BDQN31-BDQN33                ,13.751902,109.210256,13.762723,109.209894," ""05/2023/HĐDV/MOBIFONE-CMC - Cap thue BDQN31-BDQN33 - CSG # 1","65 km"""
BDQN33-BDQN35                ,13.762723,109.209894,13.77036,109.21568," ""05/2023/HĐDV/MOBIFONE-CMC - Cap thue BDQN33-BDQN35 - CSG # 1","11 km"""
BDQN35-BDQN62                ,13.77036,109.21568,13.7771,109.2254," ""05/2023/HĐDV/MOBIFONE-CMC - Cap thue BDQN35-BDQN62 - CSG # 1","21 km"""
BDQN62-BDQNMA01              ,13.7771,109.2254,13.784365,109.214922," ""05/2023/HĐDV/MOBIFONE-CMC - Cap thue BDQN62-BDQNMA01 - CSG # 1","54 km"""
BDQN31-BDQN80                ,13.751902,109.210256,13.76949,109.19146," ""05/2023/HĐDV/MOBIFONE-CMC - Cap thue BDQN31-BDQN80 - CSG # 3","75 km"""
BDQN80-BDQN40                ,13.76949,109.19146,13.784151,109.180137," ""05/2023/HĐDV/MOBIFONE-CMC - Cap thue BDQN80-BDQN40 - CSG # 2","86 km"""
BDQN40-BDTP_newsite3         ,13.784151,109.180137,13.806576,109.147439," ""05/2023/HĐDV/MOBIFONE-CMC - Cap thue BDQN40-BDTP_newsite3 - CSG # 6","59 km"""
BDQN31-BDQN58                ,13.751902,109.210256,13.794076,109.154071," ""05/2023/HĐDV/MOBIFONE-CMC - Cap thue BDQN31-BDQN58 - CSG # 10","44 km"""
BDQN58-BDQN63                ,13.794076,109.154071,13.748088,109.152633," ""05/2023/HĐDV/MOBIFONE-CMC - Cap thue BDQN58-BDQN63 - CSG # 6","56 km"""
BDQN63-BDQN56                ,13.748088,109.152633,13.77969,109.1494," ""05/2023/HĐDV/MOBIFONE-CMC - Cap thue BDQN63-BDQN56 - CSG # 5","37 km"""
BDQN56-BDTP_newsite3         ,13.77969,109.1494,13.806576,109.147439," ""05/2023/HĐDV/MOBIFONE-CMC - Cap thue BDQN56-BDTP_newsite3 - CSG # 3","84 km"""
BDTP_newsite3-BDTP13         ,13.806576,109.147439,13.82359,109.14687," ""05/2023/HĐDV/MOBIFONE-CMC - Cap thue BDTP_newsite3-BDTP13 - CSG # 2","07 km"""
BDTP13-BDTP20                ,13.82359,109.14687,13.83163,109.15785," ""05/2023/HĐDV/MOBIFONE-CMC - Cap thue BDTP13-BDTP20 - CSG # 3","65 km"""
BDTP20-BDTP02                ,13.83163,109.15785,13.819584,109.174725," ""05/2023/HĐDV/MOBIFONE-CMC - Cap thue BDTP20-BDTP02 - CSG # 2","85 km"""
BDTP02-BDQN16                ,13.819584,109.174725,13.78948,109.19601," ""05/2023/HĐDV/MOBIFONE-CMC - Cap thue BDTP02-BDQN16 - CSG # 5","02 km"""
BDQN16-BDQNMA01              ,13.78948,109.19601,13.784365,109.214922," ""05/2023/HĐDV/MOBIFONE-CMC - Cap thue BDQN16-BDQNMA01 - CSG # 2","26 km"""
BDTP_newsite3-BDQN73         ,13.806576,109.147439,13.85191,109.25491," ""05/2023/HĐDV/MOBIFONE-CMC - Cap thue BDTP_newsite3-BDQN73 - CSG # 22","01 km"""
BDQN73-BDQN21                ,13.85191,109.25491,13.79013,109.21804," ""05/2023/HĐDV/MOBIFONE-CMC - Cap thue BDQN73-BDQN21 - CSG # 10","93 km"""
BDQN21-BDQN75                ,13.79013,109.21804,13.78456472,109.2196069," ""05/2023/HĐDV/MOBIFONE-CMC - Cap thue BDQN21-BDQN75 - CSG # 1","72 km"""
BDQN75-BDQNMA01              ,13.78456472,109.2196069,13.784365,109.214922," ""05/2023/HĐDV/MOBIFONE-CMC - Cap thue BDQN75-BDQNMA01 - CSG # 0","66 km"""
BDTP05-BDTP10                ,13.8558235,109.1331803,13.84043,109.19265," ""05/2023/HĐDV/MOBIFONE-CMC - Cap thue BDTP05-BDTP10 - CSG # 9","56 km"""
BDTP10-BDTP04                ,13.84043,109.19265,13.86549,109.18761," ""05/2023/HĐDV/MOBIFONE-CMC - Cap thue BDTP10-BDTP04 - CSG # 2","95 km"""
DLBTMA01-DLBT06              ,12.68287,108.0352,12.68236,108.02996," ""08/2023/HĐDV/MOBIFONE-CMC - Cap thue DLBTMA01-DLBT06 - CSG # 0","8 km"""
DLBT06-DLBT86                ,12.68236,108.02996,12.67646,108.02686," ""08/2023/HĐDV/MOBIFONE-CMC - Cap thue DLBT06-DLBT86 - CSG # 1","06 km"""
DLBT86-DLBT78                ,12.67646,108.02686,12.65902,108.01816," ""08/2023/HĐDV/MOBIFONE-CMC - Cap thue DLBT86-DLBT78 - CSG # 2","66 km"""
DLBT78-DLBT10                ,12.65902,108.01816,12.66579,108.03123," ""08/2023/HĐDV/MOBIFONE-CMC - Cap thue DLBT78-DLBT10 - CSG # 3","27 km"""
DLBT10-DLBT82                ,12.66579,108.03123,12.67953,108.04331," ""08/2023/HĐDV/MOBIFONE-CMC - Cap thue DLBT10-DLBT82 - CSG # 2","74 km"""
DLBT82-DLBT09                ,12.67953,108.04331,12.6882169,108.0558705," ""08/2023/HĐDV/MOBIFONE-CMC - Cap thue DLBT82-DLBT09 - CSG # 2","63 km"""
DLBTMA01-DLBT54              ,12.68287,108.0352,12.6884,108.035," ""08/2023/HĐDV/MOBIFONE-CMC - Cap thue DLBTMA01-DLBT54 - CSG # 0","85 km"""
DLBT54-DLBT84                ,12.6884,108.035,12.7104,108.061," ""08/2023/HĐDV/MOBIFONE-CMC - Cap thue DLBT54-DLBT84 - CSG # 7","6 km"""
DLBT84-DLBT80                ,12.7104,108.061,12.69771,108.05727," ""08/2023/HĐDV/MOBIFONE-CMC - Cap thue DLBT84-DLBT80 - CSG # 2","2 km"""
DLBT80-DLBT09                ,12.69771,108.05727,12.6882169,108.0558705," ""08/2023/HĐDV/MOBIFONE-CMC - Cap thue DLBT80-DLBT09 - CSG # 1","55 km"""
DLBT09-DLBT30                ,12.6882169,108.0558705,12.65778,108.04707," ""08/2023/HĐDV/MOBIFONE-CMC - Cap thue DLBT09-DLBT30 - CSG # 6","53 km"""
DLBT30-DLBT56                ,12.65778,108.04707,12.603598,108.032314," ""08/2023/HĐDV/MOBIFONE-CMC - Cap thue DLBT30-DLBT56 - CSG # 9","76 km"""
DLBT56-DLBT04                ,12.603598,108.032314,12.63154,107.998286," ""08/2023/HĐDV/MOBIFONE-CMC - Cap thue DLBT56-DLBT04 - CSG # 8","41 km"""
DLBT04-DLBT39                ,12.63154,107.998286,12.614217,107.946967," ""08/2023/HĐDV/MOBIFONE-CMC - Cap thue DLBT04-DLBT39 - CSG # 7","91 km"""
DLBT39-DLBTMA01              ,12.614217,107.946967,12.68287,108.0352," ""08/2023/HĐDV/MOBIFONE-CMC - Cap thue DLBT39-DLBTMA01 - CSG # 15","6 km"""
DLBT09-DLBT26                ,12.6882169,108.0558705,12.6321944,108.0273379," ""08/2023/HĐDV/MOBIFONE-CMC - Cap thue DLBT09-DLBT26 - CSG # 8","62 km"""
DLBT26-DLBT37                ,12.6321944,108.0273379,12.61817,108.0102321," ""08/2023/HĐDV/MOBIFONE-CMC - Cap thue DLBT26-DLBT37 - CSG # 5","39 km"""
