Name,lat1,lon1,lat2,lon2,Desc
DLBT46-TT1 Đăk Lăk,12.688336,108.052178,12.6843,108.0528,FO DT#MBF#DLBT46-DLBT09
DLEK11-Ea Păl,12.7359313,108.5365641,12.7257,108.5551,FO DT#MBF#DLEK11-DLEK04
DLEK42-Ea Păl,12.70297,108.5402,12.7257,108.5551,FO DT#MBF#DLEK42-DLEK04
Hòa Sơn-DLKG33,12.50337,108.2297,12.50759,108.21877,FO DT#MBF#DLKG05-DLKG33
DLKG13-Hòa Sơn,12.490573,108.2625,12.50337,108.2297,FO DT#MBF#DLKG13-DLKG05
DLKG27-Hòa Sơn,12.48956,108.23199,12.50337,108.2297,FO DT#MBF#DLKG27-DLKG05
DLKG29-Dang Kang,12.54975,108.30959,12.57304,108.3352,FO DT#MBF#DLKG29-DLKG16
DLBT3U-Tân Lập,12.66316,108.10313,12.65451,108.1073,FO DT#MBF#DLBT3U-DLBT05
DLKN58-KRông Năng,12.9761,108.3447,12.951746,108.34468,FO DT#MBF#DLKN58-DLKN27
DLKN54-KRông Năng,12.94232,108.34872,12.951746,108.34468,FO DT#MBF#DLKN54-DLKN27
DLKB43-Pơng Drang,12.95499,108.24368,12.97057,108.2454,FO DT#MBF#DLKB43-DLKB36
DLEK72-Ea Kar,12.7907,108.4663,12.81206,108.4837,FO DT#MBF#DLEK72-DLEK01
22DL039-Vụ Bổn,12.65192,108.41569,12.6589,108.4328,FO DT#MBF#22DL039-DLKP06
DLCK22-Cư Kuin,12.5778,108.148617,12.55998,108.1639,FO DT#MBF#DLCK22-DLCK11
DLCK25-Cư Kuin,12.54218,108.1715,12.55998,108.1639,FO DT#MBF#DLCK25-DLCK11
DLEK31-Ea Kar,12.80491,108.45256,12.81206,108.4837,FO DT#MBF#DLEK31-DLEK01
DLEK16-Ea Kar,12.801062,108.427822,12.81206,108.4837,FO DT#MBF#DLEK16-DLEK01
Cửa hàng MobiFone huyện Buôn Hồ-Buôn Hồ,12.918133,108.267549,12.916187,108.26651,FO DT#MBF#Cửa hàng MobiFone huyện Buôn Hồ-DLBH15
DLKG36-Hòa Sơn,12.50487,108.25758,12.50337,108.2297,FO DT#MBF#DLKG36-DLKG05
DLKP76-Ea Phê,12.74027,108.35783,12.72793,108.3632,FO DT#MBF#DLKP76-DLKP37
DLBT3N-Tân Lập,12.665113,108.116556,12.65451,108.1073,FO DT#MBF#DLBT3N-DLBT05
DLBT3T-Ea Kao,12.65746,108.0363,12.66006,108.0303,FO DT#MBF#DLBT3T-DLBT88
PK02-DLBT3Y,13.14724,109.2846,12.710684,108.052174,FO DT#MBF#DLBT53-DLBT3Y
DLBT4B-TT1 Đăk Lăk,12.68581,108.052,12.6843,108.0528,FO DT#MBF#DLBT4B-DLBT09
DLBT5B-TT1 Đăk Lăk,12.68038,108.05556,12.6843,108.0528,FO DT#MBF#DLBT5B-DLBT09
